iter	Passed	Remaining
0	303	302784
1	306	153182
2	310	103217
3	315	78464
4	319	63567
5	324	53695
6	327	46496
7	331	41100
8	335	36911
9	340	33697
10	344	30934
11	347	28620
12	352	26737
13	356	25081
14	359	23634
15	363	22347
16	366	21214
17	369	20162
18	374	19337
19	379	18590
20	383	17872
21	386	17173
22	392	16687
23	395	16102
24	399	15562
25	402	15075
26	406	14645
27	409	14223
28	412	13818
29	415	13447
30	421	13178
31	424	12836
32	427	12530
33	430	12236
34	437	12050
35	440	11795
36	443	11550
37	449	11386
38	452	11160
39	456	10950
40	459	10751
41	466	10630
42	468	10437
43	472	10269
44	480	10188
45	483	10026
46	487	9880
47	490	9723
48	494	9594
49	497	9450
50	500	9314
51	503	9183
52	509	9108
53	512	8981
54	515	8857
55	518	8748
56	523	8655
57	526	8552
58	529	8442
59	532	8336
60	535	8235
61	538	8147
62	541	8052
63	544	7964
64	547	7876
65	552	7820
66	555	7733
67	558	7657
68	561	7578
69	564	7499
70	567	7425
71	570	7349
72	574	7296
73	577	7224
74	582	7188
75	585	7122
76	589	7062
77	592	7001
78	597	6961
79	599	6895
80	602	6831
81	605	6776
82	606	6701
83	611	6669
84	614	6619
85	618	6570
86	621	6517
87	626	6488
88	628	6436
89	631	6384
90	634	6342
91	637	6291
92	642	6265
93	645	6219
94	648	6180
95	651	6135
96	654	6094
97	658	6060
98	661	6018
99	664	5981
100	667	5937
101	670	5899
102	673	5861
103	675	5821
104	678	5785
105	681	5747
106	684	5715
107	687	5680
108	690	5643
109	693	5608
110	695	5572
111	700	5554
112	703	5520
113	705	5484
114	708	5451
115	710	5416
116	712	5377
117	716	5358
118	719	5327
119	721	5293
120	724	5265
121	726	5229
122	730	5208
123	733	5181
124	736	5152
125	738	5124
126	740	5090
127	743	5061
128	748	5052
129	751	5027
130	754	5002
131	756	4972
132	758	4945
133	762	4927
134	764	4900
135	766	4871
136	769	4847
137	772	4824
138	776	4810
139	779	4787
140	782	4765
141	784	4738
142	786	4713
143	788	4689
144	792	4674
145	795	4650
146	797	4625
147	799	4602
148	802	4580
149	804	4558
150	807	4542
151	810	4524
152	814	4506
153	817	4492
154	821	4480
155	824	4460
156	826	4438
157	828	4417
158	831	4397
159	833	4377
160	836	4359
161	839	4341
162	841	4321
163	843	4301
164	846	4283
165	849	4267
166	853	4256
167	856	4239
168	858	4222
169	862	4210
170	865	4196
171	869	4185
172	871	4167
173	874	4150
174	877	4136
175	879	4118
176	883	4110
177	886	4092
178	888	4075
179	891	4059
180	894	4045
181	897	4035
182	900	4022
183	903	4008
184	906	3995
185	909	3980
186	915	3978
187	918	3965
188	920	3951
189	923	3937
190	929	3935
191	931	3921
192	934	3907
193	937	3894
194	940	3880
195	944	3873
196	947	3860
197	949	3846
198	952	3832
199	954	3818
200	957	3805
201	960	3795
202	963	3782
203	965	3768
204	968	3756
205	971	3742
206	975	3735
207	978	3724
208	980	3711
209	983	3698
210	985	3686
211	990	3682
212	993	3669
213	995	3655
214	997	3642
215	999	3629
216	1003	3620
217	1006	3610
218	1009	3598
219	1011	3587
220	1014	3577
221	1018	3568
222	1021	3559
223	1024	3547
224	1026	3535
225	1029	3525
226	1032	3515
227	1036	3509
228	1039	3499
229	1042	3489
230	1045	3478
231	1050	3478
232	1053	3467
233	1055	3454
234	1057	3444
235	1060	3433
236	1064	3426
237	1066	3414
238	1068	3403
239	1071	3391
240	1073	3380
241	1075	3369
242	1079	3362
243	1082	3353
244	1085	3343
245	1087	3334
246	1093	3333
247	1096	3325
248	1099	3315
249	1102	3306
250	1104	3297
251	1109	3293
252	1111	3283
253	1114	3272
254	1116	3261
255	1118	3251
256	1124	3250
257	1127	3241
258	1129	3231
259	1132	3222
260	1134	3212
261	1138	3206
262	1141	3197
263	1144	3191
264	1147	3183
265	1151	3176
266	1155	3173
267	1158	3164
268	1161	3156
269	1164	3148
270	1167	3140
271	1170	3133
272	1173	3124
273	1176	3116
274	1179	3108
275	1181	3099
276	1186	3097
277	1189	3089
278	1192	3080
279	1194	3072
280	1199	3069
281	1202	3061
282	1206	3055
283	1208	3048
284	1211	3040
285	1216	3036
286	1219	3029
287	1222	3021
288	1224	3013
289	1227	3004
290	1231	3000
291	1234	2992
292	1236	2984
293	1239	2976
294	1242	2968
295	1247	2966
296	1249	2957
297	1252	2949
298	1255	2943
299	1257	2934
300	1261	2929
301	1265	2925
302	1268	2918
303	1271	2911
304	1275	2906
